,listed_price,value,value_description,make_and_model,year,mileage,trim_level,color,location,additional_description,discount,car_URL,thumbnail_URL,make_first,make_second,state,Accident,Past Owners,Usage,is_Excellent_Price,is_Great_Price,is_Fleet_Use,is_Personal_Use
0,18997,Excellent Price,"$2,503 off avg. list price",Kia Sorento,2020,17355,LX V6 FWD,"White exterior, Black interior","Oakland, CA","No accidents, 1 Owner, Fleet use",,https://www.truecar.com/used-cars-for-sale/listing/5XYPG4A59LG627533/2020-kia-sorento/,https://listings-prod.tcimg.net/listings/85747/33/75/5XYPG4A59LG627533/AB6D6VDOBMWFW5SNSDN4T4XE3U-318.jpg,Kia,Sorento, CA,0,1, Fleet use,1,0,1,0
1,11197,Excellent Price,"$1,429 off avg. list price",Nissan Sentra,2019,43761,SV CVT,"White exterior, Black interior","Nashville, TN","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP4KY288992/2019-nissan-sentra/,https://listings-prod.tcimg.net/listings/83548/92/89/3N1AB7AP4KY288992/S7JTI6JKQAL7JBQ2MXGOF5VN4I-318.jpg,Nissan,Sentra, TN,0,1, Personal use,1,0,0,1
2,14897,Excellent Price,"$1,923 off avg. list price",Chevrolet Malibu,2020,45308,LT,"Black exterior, Black interior","Murray, UT","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/1G1ZD5ST0LF006830/2020-chevrolet-malibu/,https://listings-prod.tcimg.net/listings/86355/30/68/1G1ZD5ST0LF006830/PJFKHI3PV6OFH6AMSN75IDKEVU-318.jpg,Chevrolet,Malibu, UT,0,1, Personal use,1,0,0,1
3,17497,Excellent Price,"$2,233 off avg. list price",Kia Sorento,2020,35256,LX V6 FWD,"White exterior, Black interior","Murray, UT","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/5XYPG4A51LG610466/2020-kia-sorento/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Kia,Sorento, UT,0,1, Personal use,1,0,0,1
4,12499,Excellent Price,"$1,547 off avg. list price",Nissan Sentra,2019,21534,SV CVT,"White exterior, Black interior","Philadelphia, PA","No accidents, 1 Owner, Fleet use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP4KY359138/2019-nissan-sentra/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Nissan,Sentra, PA,0,1, Fleet use,1,0,1,0
5,13397,Excellent Price,"$1,656 off avg. list price",Toyota Corolla,2020,39337,LE CVT,"Silver exterior, Unknown interior","Oakland, CA","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/JTDEPRAE4LJ044288/2020-toyota-corolla/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Toyota,Corolla, CA,0,1, Personal use,1,0,0,1
6,23094,Excellent Price,"$2,665 off avg. list price",Kia Sorento,2020,763,LX V6 FWD,"White exterior, Black interior","Folsom, CA","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/5XYPG4A57LG675709/2020-kia-sorento/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Kia,Sorento, CA,0,1, Personal use,1,0,0,1
7,11497,Excellent Price,"$1,358 off avg. list price",Nissan Sentra,2019,33288,SV CVT,"White exterior, Black interior","Oakbrook, IL","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP8KL612958/2019-nissan-sentra/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Nissan,Sentra, IL,0,1, Personal use,1,0,0,1
8,14995,Excellent Price,,Chevrolet Malibu,2020,35451,LT,"White exterior, Black interior","Katy, TX","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/1G1ZD5STXLF006091/2020-chevrolet-malibu/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Chevrolet,Malibu, TX,0,1, Personal use,1,0,0,1
9,12998,Excellent Price,"$1,378 off avg. list price",Toyota Corolla,2020,32098,LE CVT,"Black exterior, Black interior","Tampa, FL","No accidents, 1 Owner, Personal use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/5YFEPRAEXLP012280/2020-toyota-corolla/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Toyota,Corolla, FL,0,1, Personal use,1,0,0,1
10,10888,Excellent Price,"$2,188 off avg. list price",Toyota Corolla,2020,28932,LE CVT,"White exterior, Beige interior","Davie, FL","No accidents, 1 Owner, Personal use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/JTDEPRAE3LJ056755/2020-toyota-corolla/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Toyota,Corolla, FL,0,1, Personal use,1,0,0,1
11,19897,Excellent Price,,GMC Terrain,2020,43001,SLT AWD,"Black exterior, Black interior","Dallas, TX","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/3GKALVEV4LL125933/2020-gmc-terrain/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",GMC,Terrain, TX,0,1, Personal use,1,0,0,1
12,16597,Excellent Price,"$2,669 off avg. list price",Dodge Journey,2019,37543,GT AWD,"White exterior, Red interior","Orlando, FL","No accidents, 1 Owner, Personal use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/3C4PDDEG2KT745855/2019-dodge-journey/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Dodge,Journey, FL,0,1, Personal use,1,0,0,1
13,16697,Excellent Price,"$2,758 off avg. list price",Dodge Journey,2019,35080,GT AWD,"Black exterior, Red interior","Orlando, FL","No accidents, 1 Owner, Personal use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/3C4PDDEG5KT720352/2019-dodge-journey/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Dodge,Journey, FL,0,1, Personal use,1,0,0,1
14,14544,Excellent Price,"$2,600 off avg. list price",Toyota Corolla,2020,26803,LE CVT,"Black exterior, Unknown interior","Marina Del Rey, CA","No accidents, 1 Owner, Personal use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/5YFEPRAE2LP019708/2020-toyota-corolla/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Toyota,Corolla, CA,0,1, Personal use,1,0,0,1
15,12000,Excellent Price,"$2,452 off avg. list price",Nissan Sentra,2019,15497,SV CVT,"Gray exterior, Black interior","San Jose, CA","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP5KY333101/2019-nissan-sentra/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Nissan,Sentra, CA,0,1, Personal use,1,0,0,1
16,12800,Excellent Price,"$1,409 off avg. list price",Nissan Sentra,2019,30540,SV CVT,"White exterior, Black interior","Selma, CA","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP3KY320203/2019-nissan-sentra/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Nissan,Sentra, CA,0,1, Personal use,1,0,0,1
17,17900,Excellent Price,"$2,465 off avg. list price",Kia Optima,2020,12568,LX Automatic,"Black exterior, Black interior","Shelby, NC","1 accident, 1 Owner, Fleet use",,https://www.truecar.com/used-cars-for-sale/listing/5XXGT4L35LG384802/2020-kia-optima/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Kia,Optima, NC,1,1, Fleet use,1,0,1,0
18,19897,Excellent Price,"$2,541 off avg. list price",GMC Terrain,2020,42702,SLT AWD,"White exterior, Black interior","West Allis, WI","No accidents, 2 Owners, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/3GKALVEV2LL102425/2020-gmc-terrain/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",GMC,Terrain, WI,0,2, Personal use,1,0,0,1
19,13836,Excellent Price,"$1,672 off avg. list price",Nissan Sentra,2019,29242,SV CVT,"Gray exterior, Black interior","Yuma, AZ","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP4KY305984/2019-nissan-sentra/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Nissan,Sentra, AZ,0,1, Personal use,1,0,0,1
20,16899,Excellent Price,"$3,903 off avg. list price",Dodge Journey,2019,9989,GT AWD,"Gray exterior, Red interior","Boise, ID","2 accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/3C4PDDEGXKT701960/2019-dodge-journey/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Dodge,Journey, ID,2,1, Personal use,1,0,0,1
21,9921,Excellent Price,"$1,744 off avg. list price",Nissan Sentra,2019,38497,SV CVT,"Silver exterior, Black interior","Davie, FL","No accidents, 1 Owner, Personal use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP8KY367176/2019-nissan-sentra/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Nissan,Sentra, FL,0,1, Personal use,1,0,0,1
22,15901,Excellent Price,,Chevrolet Malibu,2020,27187,LT,"White exterior, Black interior","Houston, TX","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/1G1ZD5ST0LF006942/2020-chevrolet-malibu/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Chevrolet,Malibu, TX,0,1, Personal use,1,0,0,1
23,9900,Excellent Price,,Nissan Altima,2015,43847,2.5 S,"Black exterior, Beige interior","Houston, TX","1 accident, 3 Owners, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3APXFN375064/2015-nissan-altima/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Nissan,Altima, TX,1,3, Personal use,1,0,0,1
24,12990,Excellent Price,"$1,785 off avg. list price",Toyota Corolla,2020,25429,LE CVT,"Blue exterior, Gray interior","Tampa, FL","No accidents, 1 Owner, Personal use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/5YFEPRAE7LP028470/2020-toyota-corolla/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Toyota,Corolla, FL,0,1, Personal use,1,0,0,1
25,17994,Excellent Price,"$2,626 off avg. list price",Dodge Journey,2019,25889,GT AWD,"White exterior, Red interior","Madera, CA","No accidents, 1 Owner, Personal use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/3C4PDDEG3KT745508/2019-dodge-journey/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Dodge,Journey, CA,0,1, Personal use,1,0,0,1
26,16763,Excellent Price,"$1,604 off avg. list price",Chevrolet Malibu,2020,16815,LT,"Black exterior, Black interior","Santa Maria, CA","No accidents, 1 Owner, Fleet use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/1G1ZD5ST2LF044141/2020-chevrolet-malibu/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Chevrolet,Malibu, CA,0,1, Fleet use,1,0,1,0
27,26988,Excellent Price,"$4,008 off avg. list price",Mercedes-Benz GLC,2018,46003,GLC 300 4MATIC SUV,"Black exterior, Black interior","Peoria, AZ","No accidents, 1 Owner, Personal use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/WDC0G4KB4JV044146/2018-mercedes-benz-glc/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Mercedes-Benz,GLC, AZ,0,1, Personal use,1,0,0,1
28,17500,Excellent Price,"$2,838 off avg. list price",Dodge Journey,2019,29844,GT AWD,"Silver exterior, Red interior","Danville, VA","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/3C4PDDEG1KT759083/2019-dodge-journey/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Dodge,Journey, VA,0,1, Personal use,1,0,0,1
29,8968,Excellent Price,"$1,660 off avg. list price",Nissan Altima,2015,69749,2.5 S,"Blue exterior, Black interior","West Covina, CA","No accidents, 2 Owners, Fleet use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3AP6FC499845/2015-nissan-altima/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Nissan,Altima, CA,0,2, Fleet use,1,0,1,0
30,14995,Excellent Price,"$1,750 off avg. list price",Chevrolet Malibu,2020,31202,LT,"White exterior, Black interior","Metairie, LA","No accidents, 1 Owner, Personal use",Upfront Price Available,https://www.truecar.com/used-cars-for-sale/listing/1G1ZD5ST8LF003495/2020-chevrolet-malibu/,https://listings-prod.tcimg.net/listings/171178/95/34/1G1ZD5ST8LF003495/ZDJHTMXNK5B5EZ4ONVAXYBUYJI-318.jpg,Chevrolet,Malibu, LA,0,1, Personal use,1,0,0,1
31,7683,Excellent Price,,Honda Civic,2014,122349,LX Sedan CVT,"Black exterior, Unknown interior","The Woodlands, TX","No accidents, 3 Owners, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/19XFB2F58EE253522/2014-honda-civic/,https://listings-prod.tcimg.net/listings/2623/22/35/19XFB2F58EE253522/7GS4BTGEL4RBQPVYARLEHZOI5E-318.jpg,Honda,Civic, TX,0,3, Personal use,1,0,0,1
32,7715,Excellent Price,"$1,275 off avg. list price",Honda Civic,2012,84361,LX Sedan Automatic,"Black exterior, Beige interior","Lithia Springs, GA","2 accidents, 2 Owners, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/19XFB2F55CE025832/2012-honda-civic/,https://listings-prod.tcimg.net/listings/160002/32/58/19XFB2F55CE025832/UPMIJ2NUB2LWZQIGEVIOYSC7SQ-318.jpg,Honda,Civic, GA,2,2, Personal use,1,0,0,1
33,4990,Excellent Price,,Honda Civic,2012,142716,LX Sedan Automatic,"Silver exterior, Gray interior","Houston, TX","1 accident, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/JHMFB2F53CS001699/2012-honda-civic/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Honda,Civic, TX,1,1, Personal use,1,0,0,1
34,8990,Excellent Price,"$1,008 off avg. list price",Nissan Altima,2015,73152,2.5 S,"Black exterior, Black interior","Branson, MO","1 accident, 2 Owners, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3APXFC478528/2015-nissan-altima/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Nissan,Altima, MO,1,2, Personal use,1,0,0,1
35,12500,Excellent Price,"$1,709 off avg. list price",Nissan Sentra,2019,38728,SR CVT,"Blue exterior, Black interior","Clovis, CA","No accidents, 1 Owner, Fleet use",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP9KY294786/2019-nissan-sentra/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Nissan,Sentra, CA,0,1, Fleet use,1,0,1,0
36,16995,Excellent Price,"$1,613 off avg. list price",Chevrolet Malibu,2020,24143,LT,"Gray exterior, Black interior","Philadelphia, PA","No accidents, 1 Owner, Fleet use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/1G1ZD5ST4LF024294/2020-chevrolet-malibu/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Chevrolet,Malibu, PA,0,1, Fleet use,1,0,1,0
37,10995,Excellent Price,,Nissan Sentra,2019,31905,SV CVT,"Black exterior, Black interior","Garland, TX","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP7KY278831/2019-nissan-sentra/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Nissan,Sentra, TX,0,1, Personal use,1,0,0,1
38,16499,Excellent Price,"$2,247 off avg. list price",Toyota RAV4,2018,79835,XLE AWD,"Black exterior, Black interior","Westport, CT","1 accident, 3 Owners, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/2T3RFREV3JW706231/2018-toyota-rav4/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Toyota,RAV4, CT,1,3, Personal use,1,0,0,1
39,38883,Excellent Price,"$5,276 off avg. list price",Jeep Wrangler,2020,17176,Unlimited Sahara,"Silver exterior, Black interior","Roswell, GA","1 accident, 1 Owner, Fleet use",Upfront Price Available,https://www.truecar.com/used-cars-for-sale/listing/1C4HJXENXLW127773/2020-jeep-wrangler/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Jeep,Wrangler, GA,1,1, Fleet use,1,0,1,0
40,19980,Excellent Price,"$2,378 off avg. list price",Nissan Pathfinder,2020,24010,FWD SV,"Black exterior, Black interior","Bourbonnais, IL","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/5N1DR2BN4LC607268/2020-nissan-pathfinder/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Nissan,Pathfinder, IL,0,1, Personal use,1,0,0,1
41,13980,Excellent Price,"$1,983 off avg. list price",Kia Optima,2020,9650,LX Automatic,"Purple exterior, Black interior","Chantilly, VA","No accidents, 1 Owner, Fleet use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/5XXGT4L32LG425628/2020-kia-optima/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Kia,Optima, VA,0,1, Fleet use,1,0,1,0
42,7800,Excellent Price,"$1,764 off avg. list price",Toyota Corolla,2016,107616,LE CVT,"White exterior, Gray interior","Highlands Ranch, CO","No accidents, 3 Owners, Fleet use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/2T1BURHE3GC643251/2016-toyota-corolla/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Toyota,Corolla, CO,0,3, Fleet use,1,0,1,0
43,11799,Excellent Price,"$1,182 off avg. list price",Nissan Sentra,2019,27691,SV CVT,"White exterior, Black interior","San Bernardino, CA","No accidents, 1 Owner, Personal use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP0KY315895/2019-nissan-sentra/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Nissan,Sentra, CA,0,1, Personal use,1,0,0,1
44,22797,Excellent Price,"$2,850 off avg. list price",Nissan Pathfinder,2020,36827,SL 4WD,"Black exterior, Black interior","Minneapolis, MN","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/5N1DR2CM0LC583606/2020-nissan-pathfinder/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Nissan,Pathfinder, MN,0,1, Personal use,1,0,0,1
45,8500,Excellent Price,"$1,123 off avg. list price",Honda Civic,2013,87238,LX Sedan Automatic,"Black exterior, Unknown interior","Kissimmee, FL","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/2HGFB2F55DH513833/2013-honda-civic/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Honda,Civic, FL,0,1, Personal use,1,0,0,1
46,8500,Excellent Price,,Nissan Altima,2015,74602,2.5 SV,"Silver exterior, Black interior","Houston, TX","1 accident, 3 Owners, Personal use",Upfront Price Available,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3AP9FC149156/2015-nissan-altima/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Nissan,Altima, TX,1,3, Personal use,1,0,0,1
47,39971,Excellent Price,"$6,841 off avg. list price",Jeep Wrangler,2020,8472,Unlimited Sahara High Altitude,"Black exterior, Black interior","Hot Springs, AR","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/1C4HJXEN9LW115579/2020-jeep-wrangler/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Jeep,Wrangler, AR,0,1, Personal use,1,0,0,1
48,39966,Excellent Price,"$5,495 off avg. list price",Jeep Wrangler,2020,13176,Unlimited Sahara High Altitude,"Black exterior, Black interior","Lima, OH","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/1C4HJXEN8LW221330/2020-jeep-wrangler/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Jeep,Wrangler, OH,0,1, Personal use,1,0,0,1
49,16825,Excellent Price,"$1,830 off avg. list price",Dodge Journey,2019,30725,GT AWD,"White exterior, Red interior","Bellfower, CA","No accidents, 1 Owner, Fleet use",,https://www.truecar.com/used-cars-for-sale/listing/3C4PDDEG3KT738669/2019-dodge-journey/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Dodge,Journey, CA,0,1, Fleet use,1,0,1,0
50,19788,Excellent Price,"$2,363 off avg. list price",Dodge Journey,2019,34107,GT AWD,"Silver exterior, Red interior","Enumclaw, WA","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/3C4PDDEG4KT687375/2019-dodge-journey/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Dodge,Journey, WA,0,1, Personal use,1,0,0,1
51,8485,Excellent Price,"$1,167 off avg. list price",Nissan Sentra,2015,44437,SV CVT,"Gray exterior, Unknown interior","Duluth, GA","No accidents, 1 Owner, Fleet use",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP6FL694937/2015-nissan-sentra/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Nissan,Sentra, GA,0,1, Fleet use,1,0,1,0
52,23797,Excellent Price,"$2,939 off avg. list price",Nissan Pathfinder,2020,26498,SL 4WD,"Black exterior, Black interior","Murray, UT","No accidents, 1 Owner, Fleet use",,https://www.truecar.com/used-cars-for-sale/listing/5N1DR2CM0LC582987/2020-nissan-pathfinder/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Nissan,Pathfinder, UT,0,1, Fleet use,1,0,1,0
53,25265,Excellent Price,,Mercedes-Benz CLA,2018,508,CLA 250 FWD,"Black exterior, Unknown interior","El Paso, TX","No accidents, 1 Owner, Personal use",Upfront Price Available,https://www.truecar.com/used-cars-for-sale/listing/WDDSJ4EB4JN573016/2018-mercedes-benz-cla/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Mercedes-Benz,CLA, TX,0,1, Personal use,1,0,0,1
54,39699,Excellent Price,"$6,181 off avg. list price",Jeep Wrangler,2020,16909,Unlimited Sahara High Altitude,"Black exterior, Black interior","Roswell, GA","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/1C4HJXEN5LW115384/2020-jeep-wrangler/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Jeep,Wrangler, GA,0,1, Personal use,1,0,0,1
55,6999,Excellent Price,"$1,296 off avg. list price",Nissan Altima,2015,139700,2.5 SL,"Black exterior, Black interior","Rosedale, MD","2 accidents, 2 Owners, Fleet use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3AP5FN356485/2015-nissan-altima/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Nissan,Altima, MD,2,2, Fleet use,1,0,1,0
56,14549,Excellent Price,,Toyota Corolla,2020,18717,LE CVT,"Blue exterior, Beige interior","Euless, TX","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/JTDEPRAEXLJ068188/2020-toyota-corolla/,https://listings-prod.tcimg.net/listings/175546/88/81/JTDEPRAEXLJ068188/2JXDOE5F6QQ44TSVK7YTWBZWL4-318.jpg,Toyota,Corolla, TX,0,1, Personal use,1,0,0,1
57,13900,Excellent Price,"$1,902 off avg. list price",Ram 1500,2015,115884,"Express Quad Cab 6'4"" Box 2WD","Black exterior, Gray interior","Rosedale, MD","No accidents, 1 Owner, Personal use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/1C6RR6FT9FS536225/2015-ram-1500/,https://listings-prod.tcimg.net/listings/120142/25/62/1C6RR6FT9FS536225/SZ3BST3HI7FO55TNIAOGI5HFAI-318.jpg,Ram,1500, MD,0,1, Personal use,1,0,0,1
58,12697,Excellent Price,"$1,656 off avg. list price",Toyota Corolla,2019,31571,LE CVT,"White exterior, Unknown interior","Nashville, TN","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/2T1BURHEXKC235709/2019-toyota-corolla/,https://listings-prod.tcimg.net/listings/83548/09/57/2T1BURHEXKC235709/D7XDPBJEIG62WYFNMQL2VAKVPA-318.jpg,Toyota,Corolla, TN,0,1, Personal use,1,0,0,1
59,15950,Excellent Price,,Dodge Journey,2019,46386,GT AWD,"Black exterior, Red interior","Irving, TX","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/3C4PDDEG8KT738876/2019-dodge-journey/,https://listings-prod.tcimg.net/listings/210003/76/88/3C4PDDEG8KT738876/QUV7OF5V3EDGPF3R6FGOKZULL4-318.jpg,Dodge,Journey, TX,0,1, Personal use,1,0,0,1
60,6988,Excellent Price,"$1,380 off avg. list price",Nissan Sentra,2015,74304,SV CVT,"Black exterior, Black interior","Duluth, GA","1 accident, 1 Owner, Personal use",Upfront Price Available,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP4FL684147/2015-nissan-sentra/,https://listings-prod.tcimg.net/listings/17446/47/41/3N1AB7AP4FL684147/PBUNAT7SPYXEHKLX7PWWSGVHE4-318.jpg,Nissan,Sentra, GA,1,1, Personal use,1,0,0,1
